video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,trajectory_length_ratio
3,CoTracker3,medium,89.93871297242084,44.16167664670659,28.851963746223564,83.00898203592814,71.05614973262033,90.6437125748503,80.59280169371912,93.7874251497006,84.76534296028882,95.13473053892216,85.70391872278664,70.1940353711277,81.34730538922156,1.4374781847000122,1.0190302972707797
3,CoTracker3,strong,76.25127681307457,37.27544910179641,20.606564187785626,75.22455089820359,52.06914614981666,86.52694610778443,63.82618510158014,93.41317365269461,67.03107019562717,94.91017964071857,68.58304297328688,54.42320172161929,77.47005988023953,0.5941980481147766,1.9109387851066117
4,CoTracker3,none,91.77524429967427,79.13322632423755,65.54149085794656,88.76404494382022,73.34315169366715,97.1107544141252,79.96941896024465,98.87640449438202,82.19814241486068,100.0,84.19405320813772,77.04925142697135,92.77688603531298,1.681046485900879,0.9345865966097332
4,CoTracker3,medium,91.77524429967427,71.58908507223114,54.215304798962386,79.29373996789727,60.893098782138026,88.4430176565008,71.3256484149856,93.41894060995185,77.46268656716417,99.83948635634029,84.05572755417957,69.59049322348594,86.51685393258427,1.4839870929718018,0.9450006852903996
4,CoTracker3,strong,87.70358306188925,68.0577849117175,53.67156208277704,73.35473515248796,56.59863945578232,78.00963081861958,58.104395604395606,85.553772070626,64.19400855920114,91.3322632423756,70.26627218934911,60.56697557830104,79.26163723916532,1.07615065574646,0.9270221191402684
5,CoTracker3,none,98.99413243922884,81.84210526315789,67.3913043478261,91.57894736842105,82.03309692671394,96.84210526315789,91.06699751861042,99.73684210526315,96.42857142857143,100.0,96.9309462915601,86.7701833026564,94.0,34.43240737915039,1.0291749379652606
5,CoTracker3,medium,91.70159262363788,3.9473684210526314,1.7725258493353029,13.421052631578947,6.821705426356589,42.368421052631575,27.59259259259259,83.94736842105263,68.45965770171149,91.84210526315789,72.68170426065163,35.46563716612952,47.10526315789473,19.121746063232422,0.8947129985019306
5,CoTracker3,strong,81.64291701592624,0.2631578947368421,0.17301038062283738,0.2631578947368421,0.17301038062283738,0.5263157894736842,0.17301038062283738,14.473684210526317,4.701627486437613,41.8421052631579,18.404907975460123,4.725113320753249,11.473684210526317,8.098962783813477,0.8107195833040726
6,CoTracker3,none,85.51980198019803,43.956043956043956,28.762135922330096,73.80952380952381,57.652303120356606,91.57509157509158,77.12854757929884,94.32234432234432,79.83050847457626,94.5054945054945,80.1358234295416,64.70186370522069,79.63369963369964,7.180692672729492,1.057700202042913
6,CoTracker3,medium,84.4059405940594,41.75824175824176,26.611957796014067,68.4981684981685,52.112676056338024,85.16483516483517,71.97452229299363,90.47619047619048,77.92421746293246,93.4065934065934,78.51239669421489,61.42715406049861,75.86080586080585,3.489123582839966,1.1768372822959077
