video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
4,CoTracker3,strong,87.70358306188925,68.0577849117175,53.67156208277704,73.35473515248796,56.59863945578232,78.00963081861958,58.104395604395606,85.553772070626,64.19400855920114,91.3322632423756,70.26627218934911,60.56697557830104,79.26163723916532
5,CoTracker3,none,98.99413243922884,81.84210526315789,67.3913043478261,91.57894736842104,82.03309692671394,96.84210526315788,91.06699751861042,99.73684210526316,96.42857142857144,100.0,96.9309462915601,86.7701833026564,94.0
5,CoTracker3,medium,91.70159262363788,3.947368421052632,1.7725258493353029,13.421052631578949,6.821705426356589,42.368421052631575,27.59259259259259,83.94736842105263,68.45965770171149,91.84210526315788,72.68170426065163,35.46563716612952,47.10526315789473
5,CoTracker3,strong,81.64291701592624,0.2631578947368421,0.1730103806228373,0.2631578947368421,0.1730103806228373,0.5263157894736842,0.1730103806228373,14.473684210526317,4.701627486437613,41.8421052631579,18.404907975460123,4.725113320753249,11.473684210526317
6,CoTracker3,none,85.51980198019803,43.95604395604396,28.762135922330096,73.80952380952381,57.652303120356606,91.57509157509158,77.12854757929884,94.32234432234432,79.83050847457626,94.5054945054945,80.1358234295416,64.70186370522069,79.63369963369964
6,CoTracker3,medium,84.4059405940594,41.75824175824176,26.611957796014067,68.4981684981685,52.11267605633802,85.16483516483517,71.97452229299363,90.47619047619048,77.92421746293246,93.4065934065934,78.51239669421489,61.42715406049861,75.86080586080585
6,CoTracker3,strong,75.4950495049505,26.373626373626376,14.486921529175053,54.57875457875458,35.476190476190474,73.62637362637363,53.99188092016238,82.23443223443223,63.271162123385935,88.82783882783882,69.09361069836552,47.26395314945588,65.12820512820512
7,CoTracker3,none,93.86666666666666,45.26901669758813,28.78548895899053,60.42053184910328,42.55783500654736,78.10760667903524,62.32604373757455,90.35250463821892,79.05701754385966,96.96969696969695,89.55310504933256,60.455898059260925,74.22387136672852
7,CoTracker3,medium,92.44444444444444,28.509585652442794,16.30550621669627,46.32034632034632,29.253849190682985,68.21273964131107,49.15717539863326,83.42609771181199,66.78553234844625,96.04205318491032,86.02272727272727,49.50495808543721,64.5021645021645
7,CoTracker3,strong,79.24444444444444,10.327767470624613,6.02810650887574,22.325293753865186,14.132165605095542,37.53865182436611,25.635407537248028,56.153370439084725,42.282878411910666,79.5299938157081,61.24859392575927,29.865430397777853,41.17501546072974
