video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
24,CoWTracker,medium,91.07692307692308,22.429906542056074,11.8895966029724,49.39919893190921,30.5532617671346,76.23497997329774,56.22529644268774,98.93190921228305,87.76722090261283,100.0,89.568345323741,55.20074420782972,69.39919893190921
24,CoWTracker,strong,85.94871794871794,0.0,0.0,4.005340453938585,1.9442644199611145,27.369826435246996,14.985380116959066,50.467289719626166,31.63179916317992,99.86648865153538,83.76168224299066,26.46462518861815,36.34178905206943
25,CoWTracker,none,81.26463700234193,20.344827586206897,10.825688073394495,44.48275862068966,26.89075630252101,73.44827586206897,53.68956743002544,88.62068965517241,70.14084507042253,96.89655172413794,75.07246376811594,47.323864128895885,64.75862068965516
25,CoWTracker,medium,68.61826697892272,12.068965517241379,5.654281098546042,27.93103448275862,13.344887348353554,62.758620689655174,36.53444676409186,82.75862068965517,52.44755244755245,93.79310344827586,60.68796068796068,33.73382566930091,55.86206896551724
25,CoWTracker,strong,68.14988290398126,3.4482758620689653,1.7482517482517483,8.275862068965518,4.114490161001789,24.82758620689655,13.229571984435799,57.58620689655173,36.29976580796253,74.82758620689656,51.958224543080945,21.47006084894656,33.793103448275865
26,CoWTracker,none,97.49739311783108,15.874730021598271,8.502024291497975,41.03671706263499,25.40106951871658,62.74298056155507,44.86486486486487,88.98488120950324,78.32699619771863,98.59611231101512,94.80789200415369,50.38056937539035,61.44708423326134
26,CoWTracker,medium,96.66319082377477,6.479481641468683,3.289473684210526,24.73002159827214,13.836858006042297,54.535637149028084,36.620739666424946,78.94168466522679,63.39982653946227,98.59611231101512,94.02677651905252,42.23473488303851,52.65658747300216
26,CoWTracker,strong,96.14181438998958,1.187904967602592,0.4807692307692308,6.8034557235421165,3.2948929159802307,23.86609071274298,13.040865384615385,54.64362850971922,36.403190717911535,81.74946004319654,66.75531914893617,23.99500747964251,33.65010799136069
27,CoWTracker,none,83.7948717948718,24.2284963887065,12.521208008143875,42.61326329612607,24.334458192725908,67.69533814839134,45.12035010940919,84.0446487196323,62.788414334806085,94.74720945502298,76.66489078316462,44.28586428564994,62.66579120157585
27,CoWTracker,medium,82.56410256410255,24.622455679579776,12.52923488138991,49.704530531845045,28.99272309459977,67.76099803020355,44.178082191780824,85.16086671043992,62.62675036214389,95.14116874589625,75.50807712350182,44.766973530683245,64.4780039395929
27,CoWTracker,strong,82.66666666666667,11.75311884438608,5.602503912363067,36.37557452396586,19.645390070921987,61.78594878529219,38.67653103164817,80.23637557452396,56.78438661710037,92.25213394615889,71.35601828339259,38.412965983085236,56.4806303348654
28,CoWTracker,none,95.19725557461408,23.91523713420787,13.501144164759726,42.583249243188696,26.93538067818298,65.48940464177598,47.39970282317979,90.61553985872855,80.36363636363636,100.0,94.50980392156862,52.5419335902655,64.52068617558022
28,CoWTracker,medium,87.221269296741,13.824419778002017,7.855504587155964,32.593340060544904,20.654265554842848,47.527749747729565,32.83898305084746,75.47931382441978,61.876075731497416,93.23915237134209,84.23114593535749,41.49119497194024,52.532795156407666
28,CoWTracker,strong,83.19039451114922,4.137235116044399,2.2564667033571824,14.631685166498487,8.275058275058274,26.034308779011102,15.332091868404717,39.858728557013116,25.455773126266035,73.46115035317861,56.00335852225021,21.464549699067287,31.62462159434914
29,CoWTracker,none,94.52401010951979,25.17123287671233,14.605067064083457,66.18150684931507,49.70798182998053,91.18150684931507,79.25407925407926,98.5445205479452,91.77057356608479,100.0,94.5193929173693,65.97141892631949,76.21575342465754
29,CoWTracker,medium,97.30412805391744,6.25,3.2229580573951435,25.34246575342466,14.327628361858192,71.23287671232876,54.52742894910774,95.8904109589041,89.77272727272727,99.91438356164383,97.13322091062395,51.79679271034245,59.726027397260275
29,CoWTracker,strong,96.46166807076663,0.2568493150684931,0.12903225806451613,2.3972602739726026,1.2173913043478262,16.60958904109589,9.090909090909092,54.53767123287672,37.67001774098166,91.6095890410959,85.05564387917329,26.632598854695278,33.082191780821915
