video,model,blur,average_jaccard,average_pts_within_thresh,jaccard_1,jaccard_16,jaccard_2,jaccard_4,jaccard_8,occlusion_accuracy,pts_within_1,pts_within_16,pts_within_2,pts_within_4,pts_within_8
17,TapNext,medium,12.498724320577166,27.980295566502466,1.4059753954305798,23.819742489270386,5.871559633027523,12.915851272015654,18.480492813141684,54.34380776340111,1.9704433497536946,61.330049261083744,9.60591133004926,25.615763546798032,41.37931034482759
17,TapNext,strong,6.408633260316502,10.788177339901477,0.12706480304955528,22.932917316692667,0.2544529262086514,1.8087855297157622,6.919945725915875,65.24953789279112,0.24630541871921183,36.94581280788177,0.49261083743842365,3.4482758620689653,12.807881773399016
18,TapNext,none,62.61711314002534,75.96928982725528,22.22222222222222,91.6970802919708,38.314680710994075,71.23064384678077,89.62093862815884,93.95348837209302,36.94817658349328,100.0,56.813819577735124,87.23608445297505,98.84836852207293
18,TapNext,medium,14.107154465058718,33.685220729366605,7.32375085557837,20.70823710546574,10.500352360817477,14.285714285714285,17.71771771771772,39.53488372093023,11.804222648752399,63.91554702495201,18.71401151631478,29.078694817658352,44.913627639155465
18,TapNext,strong,9.343857455570694,20.0767754318618,2.044989775051125,21.234207968901845,3.6990856192851203,7.404218682737838,12.336785231877533,68.83720930232559,4.798464491362764,44.241842610364685,8.54126679462572,16.50671785028791,26.29558541266795
19,TapNext,none,40.20738619751632,61.670428893905196,13.88888888888889,66.6077738515901,26.747311827956988,40.95665171898356,52.836304700162074,81.54020385050963,25.95936794582393,93.90519187358916,44.92099322799097,63.88261851015802,79.68397291196389
19,TapNext,medium,14.102752709267644,23.205417607223477,1.1851851851851851,34.714003944773175,4.594180704441041,11.237785016286644,18.782608695652172,71.34767836919592,2.0316027088036117,58.465011286681715,7.44920993227991,16.70428893905192,31.376975169300223
19,TapNext,strong,3.980086443423793,9.209932279909708,0.0,13.480885311871226,0.26666666666666666,1.8050541516245486,4.3478260869565215,58.0973952434881,0.0,30.248306997742663,0.6772009029345373,4.514672686230249,10.609480812641085
20,TapNext,none,65.38173008405634,77.31147540983606,29.403508771929825,93.29140461215934,48.11244979919679,72.98311444652909,83.11817279046674,97.56521739130434,45.79234972677595,98.0327868852459,65.46448087431695,85.24590163934425,92.02185792349727
20,TapNext,medium,52.06890697232376,63.03825136612022,9.587301587301587,86.99891657638136,31.055429005315112,55.4954954954955,77.20739219712526,90.95652173913044,16.502732240437158,98.46994535519126,45.02732240437158,69.18032786885246,86.01092896174863
20,TapNext,strong,27.454329814463218,35.58469945355191,4.311454311454312,58.92156862745098,9.972862957937584,22.617246596066565,41.44851657940663,78.34782608695652,7.3224043715847,69.2896174863388,16.065573770491802,32.677595628415304,52.568306010928964
