video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate,trajectory_length_ratio
4,CoWTracker,medium,89.90228013029315,73.83627608346708,48.97959183673469,80.57784911717496,56.42857142857143,91.81380417335474,70.64935064935065,96.95024077046548,78.04878048780488,99.51845906902086,81.99445983379502,67.22015084725133,88.53932584269663,1.9898948669433594,1.3817248125644255,0.15867768595041323,0.043209876543209874,1.2247692075742531
4,CoWTracker,strong,86.88925081433226,71.26805778491172,44.823906083244395,73.35473515248796,46.7027027027027,76.88603531300161,50.27685492801772,80.89887640449437,54.55580865603644,89.24558587479936,64.28571428571429,52.12899733114311,78.33065810593901,1.0923269987106323,1.2229848965682004,0.22479338842975208,0.038580246913580245,1.330933326379775
5,CoWTracker,none,98.65884325230512,83.6842105263158,69.43231441048034,92.10526315789474,82.15962441314554,98.68421052631578,93.51620947630923,100.0,95.95959595959596,100.0,95.95959595959596,87.4054680438254,94.89473684210526,20.449951171875,0.9893027147019255,0.01968019680196802,0.0,1.0494810473175322
5,CoWTracker,medium,96.89857502095558,4.736842105263158,2.3653088042049935,12.894736842105264,6.712328767123288,54.473684210526315,35.714285714285715,89.47368421052632,76.2443438914027,96.84210526315789,86.810551558753,41.569363747153936,51.68421052631579,17.36542510986328,0.8697723774782754,0.03444034440344403,0.022222222222222223,1.0829560886161032
5,CoWTracker,strong,90.69572506286673,0.2631578947368421,0.12195121951219512,0.7894736842105263,0.36674816625916873,3.684210526315789,1.734820322180917,11.842105263157894,5.662805662805663,67.10526315789474,41.55172413793103,9.887609901737795,16.736842105263154,11.486288070678711,0.6032111194936534,0.1057810578105781,0.06172839506172839,1.2786192383031192
6,CoWTracker,none,79.70297029702971,47.069597069597066,26.14445574771109,73.62637362637363,47.97136038186158,88.64468864468864,64.02116402116403,91.94139194139194,67.11590296495957,95.42124542124543,71.27071823204419,55.30472026954809,79.34065934065934,4.029391288757324,1.2625716109443004,0.5954198473282443,0.014010507880910683,1.5336034106482088
6,CoWTracker,medium,78.5891089108911,46.336996336996336,25.14910536779324,70.6959706959707,44.215349369988544,87.91208791208791,61.61745827984596,95.23809523809523,70.36535859269283,97.8021978021978,73.4159779614325,54.952649914350616,79.5970695970696,3.4719579219818115,1.01070192279032,0.648854961832061,0.005253940455341506,1.9795776353436614
6,CoWTracker,strong,69.80198019801979,28.93772893772894,13.435374149659864,54.761904761904766,28.888888888888886,75.64102564102564,44.842562432138976,91.57509157509158,59.95203836930456,97.25274725274726,66.12702366127023,42.649177500252506,69.63369963369964,2.9468986988067627,0.8337980469743361,0.9274809160305344,0.0017513134851138354,2.4776080159546874
7,CoWTracker,none,96.08888888888889,50.278293135435995,32.769044740024185,70.25355596784169,52.64133456904542,85.59059987631417,72.19027705175117,92.57884972170687,82.39202657807309,98.88682745825604,92.85714285714286,66.56996515920734,79.51762523191096,7.561963081359863,1.0516765877818868,0.11690363349131122,0.008526187576126675,1.1341210782056494
7,CoWTracker,medium,92.26666666666667,35.064935064935064,20.085015940488844,57.32838589981447,37.58116883116883,79.0352504638219,60.28368794326241,94.61966604823748,81.38041733547352,100.0,90.23569023569024,57.913196057216766,73.20964749536178,7.692215442657471,1.0743100280082387,0.26066350710900477,0.0054811205846528625,1.2149522730275546
7,CoWTracker,strong,86.35555555555555,13.048855905998764,6.504315659679408,29.313543599257883,15.90070446159007,52.62832405689548,32.629558541266796,78.29313543599258,57.47493163172288,94.06307977736549,78.18463125322332,38.13882830949649,53.46938775510204,9.290353775024414,1.2983933707048514,0.41706161137440756,0.026187576126674786,1.381441269148108
8,CoWTracker,none,97.14673913043478,35.127737226277375,21.14222954420648,71.44160583941606,54.91573033707865,89.14233576642336,79.05844155844156,97.44525547445255,92.83216783216784,99.54379562043796,96.08888888888889,68.80749163215668,78.54014598540147,7.368228912353516,0.9893195584732165,0.07446808510638298,0.012488849241748439,1.0852539928410585
8,CoWTracker,medium,87.90760869565217,30.656934306569344,18.621456364647027,64.05109489051095,48.71080139372822,78.37591240875912,66.45865834633385,82.84671532846716,71.81964573268921,90.23722627737226,76.65562913907284,56.45323819529423,69.23357664233578,10.42618179321289,1.5180225166780101,0.1595744680851064,0.10526315789473684,1.1144907026380564
8,CoWTracker,strong,83.69565217391305,21.897810218978105,12.076806467913087,58.941605839416056,40.82539682539682,77.82846715328468,61.77972283005106,84.3978102189781,69.44232238349886,88.77737226277372,73.68833202819107,51.56251610701018,66.36861313868614,3.793105125427246,0.7225737734843127,0.3537234042553192,0.09545049063336307,1.3732006399552217
