video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate
7,CoTracker3,none,93.86666666666666,45.26901669758813,28.785488958990534,60.42053184910328,42.55783500654736,78.10760667903524,62.32604373757455,90.35250463821892,79.05701754385966,96.96969696969697,89.55310504933256,60.455898059260925,74.22387136672852,7.395681381225586,1.033416688636164,0.13428120063191154,0.03227771010962241
7,CoTracker3,medium,92.44444444444444,28.509585652442794,16.30550621669627,46.320346320346324,29.253849190682985,68.21273964131107,49.15717539863326,83.42609771181199,66.78553234844625,96.04205318491033,86.02272727272727,49.50495808543721,64.5021645021645,7.289095401763916,1.0206917167238008,0.16587677725118483,0.03958587088915956
7,CoTracker3,strong,79.24444444444444,10.327767470624613,6.02810650887574,22.325293753865182,14.132165605095542,37.53865182436611,25.635407537248028,56.153370439084725,42.282878411910666,79.5299938157081,61.24859392575927,29.865430397777853,41.17501546072974,7.973798751831055,1.0952517276751328,0.07898894154818326,0.25395858708891594
8,CoTracker3,none,87.63586956521739,31.204379562043794,19.27144535840188,72.62773722627736,57.36434108527132,93.61313868613139,78.69718309859155,97.90145985401459,83.54430379746836,98.63138686131386,83.54430379746836,64.4843154274403,78.7956204379562,6.041135311126709,0.8951583472234264,0.026595744680851064,0.1534344335414808
8,CoTracker3,medium,83.62771739130434,28.284671532846716,17.761989342806395,64.78102189781022,51.369863013698634,81.56934306569343,67.84810126582278,89.96350364963503,73.10704960835508,95.52919708029196,77.27272727272727,57.47194610068205,72.02554744525548,5.398090362548828,0.7921015383030192,0.05053191489361702,0.19803746654772525
8,CoTracker3,strong,78.80434782608695,20.164233576642335,11.787072243346007,58.57664233576643,42.916666666666664,75.18248175182481,58.91891891891892,83.02919708029196,63.72315035799523,90.05474452554745,66.50485436893204,48.77013251117177,65.4014598540146,2.36222767829895,0.5785322919209736,0.23670212765957446,0.19892952720785012
9,CoTracker3,none,65.77986437141367,8.78186968838527,4.993065187239944,21.813031161473088,14.436885865457294,35.59962228517469,23.491027732463294,53.352219074598686,35.7847533632287,66.66666666666666,39.53917050691244,23.648980531060335,37.242681775259676,15.532575607299805,0.9171388116165938,0.030303030303030304,0.5811808118081181
9,CoTracker3,medium,52.99947835159102,3.9660056657223794,2.34248788368336,10.198300283286118,4.971002485501243,21.718602455146367,7.555178268251274,35.59962228517469,9.224137931034484,54.296506137865904,13.632286995515694,7.54501871279721,25.15580736543909,12.896596908569336,0.8139637300693643,0.029137529137529136,0.8081180811808119
9,CoTracker3,strong,52.895148669796555,1.5108593012275733,1.1645962732919255,3.39943342776204,2.5984251968503935,7.837582625118037,4.742765273311897,17.186024551463642,7.154605263157894,30.40604343720491,10.799319727891156,5.291942346900654,12.067988668555241,10.303869247436523,0.6914866890968687,0.05128205128205128,0.7924354243542435
10,CoTracker3,none,97.0,55.319148936170215,37.23628691983122,82.4468085106383,67.43886743886743,96.96048632218846,90.76246334310851,99.62006079027356,95.34534534534535,99.69604863221885,95.49211119459054,77.25501484834861,86.80851063829789,5.877506256103516,1.0177819977597276,0.021929824561403508,0.03355704697986577
