video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate,trajectory_length_ratio,visibility_bias
12,CoTracker3,medium,98.15533980582524,60.0,41.90609670637701,90.88235294117646,81.61434977578476,98.82352941176472,95.84139264990328,100.0,98.14090019569473,100.0,98.14090019569473,83.1287279046909,89.94117647058823,1.4294861555099487,0.9034235537706556,0.2,0.016504854368932,,0.183495145631068
12,CoTracker3,strong,99.22330097087378,29.90196078431373,17.538815411155838,83.03921568627452,70.76023391812866,96.27450980392156,92.10526315789474,100.0,99.22027290448344,100.0,99.22027290448344,75.76897165922922,81.84313725490196,1.3672378063201904,0.871908298520857,0.6,0.0019417475728155,,0.5980582524271845
13,CoTracker3,none,88.81469115191987,29.125,16.5,57.06250000000001,39.32842686292548,85.75,70.16853932584269,97.875,85.03359804520464,100.0,87.55417956656348,59.71694876010727,73.96249999999999,3.643090486526489,0.9931098591727756,0.0761421319796954,0.1144615384615384,,-0.03831940648184301
13,CoTracker3,medium,88.31385642737897,25.1875,13.576532531026702,54.75,36.03603603603604,81.4375,65.20787746170679,95.0625,83.14129775621589,98.75,85.73185731857319,56.73872022071173,71.0375,3.430546283721924,0.9570369310679492,0.0761421319796954,0.12,,-0.0438578680203046
13,CoTracker3,strong,85.19755147468003,7.875,4.17397404419502,29.9375,18.044515103338632,61.8125,45.01953125,84.75,68.27195467422096,94.9375,79.7820823244552,43.05841147924197,55.86249999999999,2.614998579025269,0.7907459622287462,0.0913705583756345,0.1526153846153846,,-0.0612448262397501
14,CoTracker3,none,69.1721686135094,17.43810548977395,9.851877368239752,45.20990312163617,29.634146341463413,79.60172228202367,54.73071324599709,96.39397201291712,66.61442006269593,100.0,68.01896733403584,45.7700248704864,67.72874058127019,5.335084438323975,1.0383828989382493,0.3603603603603603,0.3011152416356877,,0.059245118724672585
14,CoTracker3,medium,44.43880142204165,17.43810548977395,9.343936381709742,35.30678148546825,17.92452830188679,65.60818083961249,30.393551446183025,83.85360602798708,35.60157790927022,92.14208826695372,37.29405891163255,26.111530590136468,58.869752421959085,10.012650489807127,2.18672287029116,0.5765765765765766,0.5469994689325545,,0.029577107644022105
14,CoTracker3,strong,18.43575418994413,1.1302475780409045,0.5504587155963303,5.382131324004305,1.2003693444136658,17.976318622174382,3.5916824196597354,43.43379978471475,7.135874877810362,70.18299246501614,9.70970970970971,4.437619013437962,27.6210979547901,13.470909118652344,3.118479663058003,0.3693693693693693,0.8311205523101434,,-0.46175118294077405
15,CoTracker3,none,100.0,48.4,31.926121372031663,83.46666666666667,71.62471395881008,96.26666666666668,92.80205655526991,100.0,100.0,100.0,100.0,79.27057837722232,85.62666666666668,2.3613057136535645,0.9815569291023876,0.0,0.0,,0.0
15,CoTracker3,medium,94.63350785340316,35.333333333333336,22.01834862385321,72.53333333333333,55.30785562632696,88.53333333333333,76.05294825511432,97.2,89.50777202072538,99.2,93.00791556728232,67.17896801866044,78.56,2.2077643871307373,0.9245751843403924,0.1428571428571428,0.0513157894736842,,0.09154135338345859
15,CoTracker3,strong,84.9476439790576,10.4,4.344569288389513,35.86666666666667,20.397579948141743,76.4,58.47554038680318,95.2,84.74801061007958,96.8,84.74801061007958,50.54274216869872,62.93333333333333,2.356405735015869,0.9987989422291405,0.2857142857142857,0.1460526315789473,,0.1396616541353384
16,CoTracker3,none,99.59183673469389,95.91836734693877,91.76470588235294,100.0,99.59183673469389,100.0,99.59183673469389,100.0,99.59183673469389,100.0,99.59183673469389,98.0264105642257,99.18367346938776,3.271685838699341,0.9582360703255862,0.0,0.004,,-0.004
16,CoTracker3,medium,100.0,97.14285714285714,94.44444444444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.88888888888889,99.42857142857144,3.4835166931152344,1.0193391487392005,0.0,0.0,,0.0
16,CoTracker3,strong,45.30612244897959,10.20408163265306,1.4245014245014245,58.36734693877551,18.666666666666668,94.28571428571428,42.4,100.0,45.30612244897959,100.0,45.30612244897959,30.620682597825454,72.57142857142857,3.305041790008545,0.9687338416945976,0.0,0.536,,-0.536
17,CoTracker3,none,76.15526802218115,30.295566502463057,17.962003454231436,48.27586206896552,30.842911877394634,71.92118226600985,51.77777777777778,88.91625615763546,62.23277909738717,100.0,68.22660098522168,46.20841463840254,67.88177339901478,9.864015579223633,0.9462699095521704,0.0,0.3100961538461538,,-0.3100961538461538
17,CoTracker3,medium,51.940850277264325,2.4630541871921183,0.546448087431694,18.22660098522168,8.875739644970414,40.39408866995074,22.666666666666664,68.22660098522168,35.294117647058826,97.78325123152707,35.960591133004925,20.66871263582651,45.41871921182266,10.651019096374512,1.003513281902241,0.0,0.625,,-0.625
17,CoTracker3,strong,41.21996303142329,1.9704433497536944,1.4373716632443532,4.433497536945813,2.066115702479339,14.77832512315271,6.236559139784946,30.78817733990148,13.302752293577983,46.55172413793103,17.61904761904762,8.132369283626847,19.704433497536943,10.207915306091309,1.0158041117544558,0.0,0.7644230769230769,,-0.7644230769230769
18,CoTracker3,none,83.9202657807309,36.37236084452975,22.745098039215687,57.77351247600768,37.18042366691015,82.43761996161228,55.33498759305211,95.96928982725528,71.5068493150685,99.80806142034548,76.8361581920904,52.72070336126736,74.4721689059501,10.403081893920898,0.9794492446772244,0.038876889848812,0.2099343955014058,,-0.1710575056525938
18,CoTracker3,medium,56.74418604651162,10.076775431861805,6.515373352855051,23.80038387715931,10.899390243902438,51.82341650671785,22.992392223161453,68.2341650671785,27.51971954425942,77.35124760076776,28.875110717449072,19.360397216325488,46.257197696737045,6.686892032623291,0.6826323681827817,0.0237580993520518,0.5998125585754451,,-0.5760544592233934
18,CoTracker3,strong,57.4750830564784,6.046065259117082,4.140350877192982,10.9404990403071,7.380607814761215,18.042226487523997,12.084592145015106,32.72552783109405,16.57501963864886,50.38387715930902,25.44378698224852,13.124871491573336,23.62763915547025,7.013483047485352,0.6354394581110023,0.0431965442764578,0.5810684161199625,,-0.5378718718435047
